County,id2,Population,Deaths,rate,high_rate,low_rate
"Ashtabula County, Ohio",39007,98231,57.0,5.802648858303387e-05,0,0
"Asotin County, Washington",53003,22306,0.0,0.0,0,1
"Assumption Parish, Louisiana",22007,22695,0.0,0.0,0,1
"Atascosa County, Texas",48013,48797,18.0,3.68875135766543e-05,0,0
"Atchison County, Kansas",20005,16380,0.0,0.0,0,1
"Atchison County, Missouri",29005,5293,0.0,0.0,0,1
"Athens County, Ohio",39009,66186,13.0,1.9641616051732994e-05,0,0
"Atkinson County, Georgia",13003,8273,0.0,0.0,0,1
"Atlantic County, New Jersey",34001,270991,174.0,6.420877446114447e-05,0,0
"Atoka County, Oklahoma",40005,13810,0.0,0.0,0,1
"Attala County, Mississippi",28007,18934,0.0,0.0,0,1
"Audrain County, Missouri",29007,26021,11.0,4.22735482879213e-05,0,0
"Audubon County, Iowa",19009,5678,0.0,0.0,0,1
"Auglaize County, Ohio",39011,45894,14.0,3.050507691637251e-05,0,0
"Augusta County, Virginia",51015,74997,26.0,3.4668053388802216e-05,0,0
"Aurora County, South Dakota",46003,2736,0.0,0.0,0,1
"Austin County, Texas",48015,29758,0.0,0.0,0,1
"Autauga County, Alabama",1001,55416,14.0,2.5263461816081997e-05,0,0
"Avery County, North Carolina",37011,17516,0.0,0.0,0,1
"Avoyelles Parish, Louisiana",22009,41117,15.0,3.6481260792372986e-05,0,0
"Baca County, Colorado",8009,3568,0.0,0.0,0,1
"Bacon County, Georgia",13005,11372,0.0,0.0,0,1
"Bailey County, Texas",48017,7181,0.0,0.0,0,1
"Baker County, Florida",12003,27937,0.0,0.0,0,1
"Baker County, Georgia",13007,3150,0.0,0.0,0,1
"Baker County, Oregon",41001,16059,0.0,0.0,0,1
"Baldwin County, Alabama",1003,208563,106.0,5.082397165364902e-05,0,0
"Baldwin County, Georgia",13009,45144,0.0,0.0,0,1
"Ballard County, Kentucky",21007,8054,0.0,0.0,0,1
"Baltimore County, Maryland",24005,831026,424.0,5.102126768596891e-05,0,0
"Baltimore city, Maryland",24510,614664,300.0,4.8807153176369526e-05,0,0
"Bamberg County, South Carolina",45009,14434,0.0,0.0,0,1
"Bandera County, Texas",48019,21776,0.0,0.0,0,1
"Banks County, Georgia",13011,18397,0.0,0.0,0,1
"Banner County, Nebraska",31007,798,0.0,0.0,0,1
"Bannock County, Idaho",16005,84377,58.0,6.873911136921198e-05,1,0
"Baraga County, Michigan",26013,8503,0.0,0.0,0,1
"Barber County, Kansas",20007,4688,0.0,0.0,0,1
"Barbour County, Alabama",1005,25965,0.0,0.0,0,1
"Barbour County, West Virginia",54001,16831,0.0,0.0,0,1
"Barnes County, North Dakota",38003,10926,0.0,0.0,0,1
"Barnstable County, Massachusetts",25001,214276,201.0,9.380425245944483e-05,1,0
"Barnwell County, South Carolina",45011,21483,0.0,0.0,0,1
"Barren County, Kentucky",21009,43993,11.0,2.5003977905575887e-05,0,0
"Barron County, Wisconsin",55005,45412,0.0,0.0,0,1
"Barrow County, Georgia",13013,77126,30.0,3.889738868863937e-05,0,0
"Barry County, Michigan",26015,59702,34.0,5.69495159291146e-05,0,0
"Barry County, Missouri",29009,35732,10.0,2.7986118885033023e-05,0,0
"Bartholomew County, Indiana",18005,81402,37.0,4.545342866268642e-05,0,0
"Barton County, Kansas",20009,26775,15.0,5.6022408963585436e-05,0,0
"Barton County, Missouri",29011,11908,0.0,0.0,0,1
"Bartow County, Georgia",13015,103807,52.0,5.009296097565675e-05,0,0
"Bastrop County, Texas",48021,82733,29.0,3.505251834213675e-05,0,0
"Bates County, Missouri",29013,16417,0.0,0.0,0,1
"Bath County, Kentucky",21011,12327,0.0,0.0,0,1
"Bath County, Virginia",51017,4476,0.0,0.0,0,1
"Baxter County, Arkansas",5005,41062,23.0,5.601285860406215e-05,0,0
"Bay County, Florida",12005,183974,109.0,5.9247502364464545e-05,0,0
"Bay County, Michigan",26017,104747,55.0,5.25074703810133e-05,0,0
"Bayfield County, Wisconsin",55007,14891,0.0,0.0,0,1
"Baylor County, Texas",48023,3697,0.0,0.0,0,1
"Beadle County, South Dakota",46005,18101,0.0,0.0,0,1
"Bear Lake County, Idaho",16007,5945,0.0,0.0,0,1
"Beaufort County, North Carolina",37013,47526,0.0,0.0,0,1
"Beaufort County, South Carolina",45013,183149,56.0,3.0576197522235994e-05,0,0
"Beauregard Parish, Louisiana",22011,36927,0.0,0.0,0,1
"Beaver County, Oklahoma",40007,5382,0.0,0.0,0,1
"Beaver County, Pennsylvania",42007,167429,66.0,3.9419694318188606e-05,0,0
"Beaver County, Utah",49001,6463,0.0,0.0,0,1
"Beaverhead County, Montana",30001,9401,0.0,0.0,0,1
"Becker County, Minnesota",27005,33734,14.0,4.150115610363431e-05,0,0
"Beckham County, Oklahoma",40009,22519,17.0,7.549180691860207e-05,1,0
"Bedford County, Pennsylvania",42009,48325,14.0,2.8970512157268495e-05,0,0
"Bedford County, Tennessee",47003,47484,23.0,4.843736837671637e-05,0,0
"Bedford County, Virginia",51019,77960,24.0,3.078501795792714e-05,0,0
"Bee County, Texas",48025,32750,21.0,6.412213740458015e-05,0,0
"Belknap County, New Hampshire",33001,60779,30.0,4.9359153655045325e-05,0,0
"Bell County, Kentucky",21013,27117,0.0,0.0,0,1
"Bell County, Texas",48027,340411,118.0,3.466397971863424e-05,0,0
"Belmont County, Ohio",39013,68673,30.0,4.36852911624656e-05,0,0
"Beltrami County, Minnesota",27007,46106,28.0,6.0729623042554114e-05,0,0
"Ben Hill County, Georgia",13017,17243,0.0,0.0,0,1
"Benewah County, Idaho",16009,9092,0.0,0.0,0,1
